"id","domain","subdomain","question","conversation_id","turn_number","expected_intent","expected_entity_type","expected_entity_name","expected_output_type","expected_time_scope","expected_behavior","expected_answer_contains","expected_answer_not_contains","expected_result_min","expected_result_max","ambiguity_expected","zero_result_allowed","priority","notes"
"AC-219","aggregations","known_gap","average age of members","","","member_analytics","","","records","","PASS","","","","","false","false","P2","Current active members with recorded birth dates"
"AC-220","aggregations","known_gap","age distribution","","","member_analytics","","","records","","PASS","","","","","false","false","P2","Stable current-age bands with birth-date coverage disclosed"
"AC-221","aggregations","known_gap","median age","","","member_analytics","","","records","","PASS","","","","","false","false","P2","Current active members with recorded birth dates"
"AC-222","aggregations","known_gap","members by state","","","member_analytics","","","records","","PASS","","","","","false","false","P2","Distinct current active members grouped by recorded native state"
"AC-223","governance","provincial_council","who were council members in 2020","","","governance_body_membership","","","records","2020","PASS","","","","","false","false","P1",""
"AC-224","governance","provincial_council","who served on council in 2020","","","governance_body_membership","","","records","2020","PASS","","","","","false","false","P1",""
"AC-225","governance","current","who are current Provincial Council members","","","appointment_search","","","records","","PASS","","","","","false","false","P1",""
"AC-226","governance","current","who are the provincial councillors","","","appointment_search","","","records","","PASS","","","","","false","false","P1",""
"AC-227","governance","bodies","list governance bodies","","","governance_directory","governance_body","","records","","PASS","","","","","false","false","P2","Caller-authorized active governance body directory"
"AC-228","governance","bodies","show governance bodies","","","governance_directory","governance_body","","records","","PASS","","","","","false","false","P2","Caller-authorized active governance body directory"
"AC-229","governance","bodies","who belongs to education commission","","","governance_body_members","governance_body","education commission","records","","PASS","","","","","false","false","P2","Explicit governance body membership only"
"AC-230","governance","bodies","who belongs to finance commission","","","governance_body_members","governance_body","finance commission","records","","PASS","","","","","false","false","P2","Explicit governance body membership only"
"AC-231","governance","bodies","members of sustainability commission","","","governance_body_members","governance_body","sustainability commission","records","","PASS","","","","","false","false","P2","Explicit governance body membership only"
"AC-232","governance","bodies","who chaired the education commission","","","governance_body_leader","governance_body","education commission","records","","PASS","","","","","false","false","P2","Explicit governance body leadership only"
"AC-233","entity_resolution","community","members of St Antony Community","","","community_membership_history","community","","records","","PASS","","","","","true","false","P1",""
"AC-234","entity_resolution","community","members of St. Antony Community","","","community_membership_history","community","","records","","PASS","","","","","true","false","P1",""
"AC-235","entity_resolution","community","members of st antony community","","","community_membership_history","community","","records","","PASS","","","","","true","false","P1",""
"AC-236","entity_resolution","community","members of St Antony","","","community_membership_history","community","","records","","PASS","","","","","true","false","P1",""
"AC-237","entity_resolution","community","members of St Antony Community Kolkata","","","community_membership_history","community","","records","","PASS","","","","","true","false","P1",""
"AC-238","entity_resolution","community","members of St Antony Community kolkota","","","community_membership_history","community","","records","","PASS","","","","","true","false","P1",""
"AC-239","entity_resolution","member","show Joseph","","","person_search","member","","records","","PASS","","","","","true","false","P1",""
"AC-240","entity_resolution","member","find Fr Joseph","","","person_search","member","","records","","PASS","","","","","true","false","P1",""
"AC-241","entity_resolution","member","find Fr. Joseph","","","person_search","member","","records","","PASS","","","","","true","false","P1",""
"AC-242","entity_resolution","member","find Bro Joseph","","","person_search","member","","records","","PASS","","","","","true","false","P1",""
"AC-243","entity_resolution","member","find Bro. Joseph","","","person_search","member","","records","","PASS","","","","","true","false","P1",""
"AC-244","entity_resolution","clarification","who was the superior of St Antony Community in 2015","","","community_superior_history","","","records","","CLARIFY","","","","","true","false","P1",""
"AC-245","entity_resolution","malformed","St Antony","","","clarification_needed","","","records","","CLARIFY","","","","","false","false","P2","Bare multi-domain entity is clarified, never guessed"
"AC-246","entity_resolution","malformed","Joseph","","","person_search","member","Joseph","records","","CLARIFY","","","","","false","false","P2","Bare person candidate uses the ambiguity-safe person resolver"
"AC-247","entity_resolution","malformed","community","","","clarification_needed","","","records","","CLARIFY","","","","","false","false","P2","Bare domain noun requests a community"
"AC-248","entity_resolution","malformed","member","","","clarification_needed","","","records","","CLARIFY","","","","","false","false","P2","Bare domain noun requests a member"
"AC-249","conversation","follow_up","largest community","A","1","community_size_ranking","community","","records","","PASS","","","","","false","false","P1",""
"AC-250","conversation","follow_up","who is the superior there","A","2","community_superior_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-251","conversation","follow_up","who are its members","A","3","community_membership_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-252","conversation","follow_up","who lived there in 2015","A","4","community_membership_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-253","conversation","follow_up","who is the oldest","B","1","member_age_extreme","member","","records","","PASS","","","","","false","false","P1",""
"AC-254","conversation","follow_up","where is he now","B","2","member_current_location","member","","records","","PASS","","","","","false","false","P1",""
"AC-255","conversation","follow_up","what appointments has he held","B","3","member_appointment_history","member","","records","","PASS","","","","","false","false","P1",""
"AC-256","conversation","follow_up","when did he make final profession","B","4","member_history","member","","records","","PASS","","","","","false","false","P1",""
"AC-257","conversation","follow_up","who was provincial in 2005","C","1","historical_office_holder","member","","records","","PASS","","","","","false","false","P1",""
"AC-258","conversation","follow_up","where is he now","C","2","member_current_location","member","","records","","PASS","","","","","false","false","P1",""
"AC-259","conversation","follow_up","where was he in 2010","C","3","member_historical_location","member","","records","","PASS","","","","","false","false","P1",""
"AC-260","conversation","follow_up","who is over 60","D","1","age_search","member","","records","","PASS","","","","","false","false","P1",""
"AC-261","conversation","follow_up","where is he","D","2","clarification_needed","member","","records","","CLARIFY","","","","","false","false","P1",""
"AC-262","conversation","follow_up","smallest community","E","1","community_size_ranking","community","","records","","PASS","","","","","false","false","P1",""
"AC-263","conversation","follow_up","who is the superior there","E","2","clarification_needed","community","","records","","CLARIFY","","","","","false","false","P1",""
"AC-264","conversation","follow_up","largest community","F","1","community_size_ranking","community","","records","","PASS","","","","","false","false","P1",""
"AC-265","conversation","follow_up","write a homily","F","2","unknown","","","records","","UNSUPPORTED","","","","","false","false","P1",""
"AC-266","conversation","follow_up","who is the superior there","F","3","community_superior_history","community","","records","","PASS","","","","","false","false","P1",""
"AC-267","composed_queries","community","who is the superior of the largest community","","","composed_community_query","community","","records","","PASS","","","","","false","false","P1",""
"AC-268","composed_queries","community","who is superior of the biggest community","","","composed_community_query","community","","records","","PASS","","","","","false","false","P1",""
"AC-269","composed_queries","community","who are the members of the largest community","","","composed_community_query","community","","records","","PASS","","","","","false","false","P1",""
"AC-270","composed_queries","community","how many members are in the largest community","","","composed_community_query","community","","records","","PASS","","","","","false","false","P1",""
"AC-271","composed_queries","community","who lived in the largest community in 2015","","","composed_community_query","community","","records","","PASS","","","","","false","false","P1",""
"AC-272","composed_queries","tie","who is superior of the smallest community","","","composed_community_query","","","records","","CLARIFY","","","","","true","false","P1",""
"AC-273","composed_queries","temporal","which was the largest community in 2015","","","historical_community_ranking","","","records","2015","PASS","","","","","false","false","P1","Historical assignments are deduplicated by member and effective-date overlap"
"AC-274","composed_queries","advanced","where is the superior of the largest community","","","composed_community_query","","","records","","PASS","","","","","false","false","P2","Authorized community ID and superior member ID are passed between stages"
"AC-275","composed_queries","advanced","how old is the superior of the largest community","","","composed_community_query","","","records","","PASS","","","","","false","false","P2","Authorized community ID and superior member ID are passed between stages"
"AC-276","composed_queries","advanced","which ministry has the most members","","","ministry_size_ranking","","","records","","PASS","","","","","false","false","P2","Active ministries ranked by distinct current active members"
"AC-277","negative","safety","who made final profession in 1901","","","vocation_cohort","","","records","","ZERO_RESULT","","","","","false","true","P1","Recognized vocation intent"
"AC-278","negative","safety","who are above 120 years old","","","age_search","","","records","","ZERO_RESULT","","","","","false","true","P1","Recognized age intent"
"AC-279","negative","safety","who was provincial in 1880","","","historical_office_holder","","","records","","ZERO_RESULT","","","","","false","true","P1","Recognized office intent"
"AC-280","negative","safety","what is the weather","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P1","Outside Communio"
"AC-281","negative","safety","write me a poem","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P1","Outside Communio"
"AC-282","negative","safety","write a homily for Sunday","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P1","Outside Communio"
"AC-283","negative","safety","who will be the next Provincial","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P1","Prediction"
"AC-284","negative","safety","who should we appoint as Provincial","","","decision_boundary","","","records","","UNSUPPORTED","","","","","false","false","P1","Decision boundary"
"AC-285","negative","safety","how many are there","","","clarification_needed","","","records","","CLARIFY","","","","","false","false","P1","Missing domain"
"AC-286","negative","safety","???","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P1","Malformed"
"AC-287","negative","safety","random purple banana","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P2","Malformed"
"AC-288","negative","input_validation","","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P2","Rejected with HTTP 400 by API length validation"
"AC-289","negative","input_validation","?","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P2","Rejected with HTTP 400 by API length validation"
"AC-290","negative","input_validation","..","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P2","Rejected with HTTP 400 by API length validation"
"AC-291","negative","input_validation","a","","","unknown","","","records","","UNSUPPORTED","","","","","false","false","P2","Rejected with HTTP 400 by API length validation"
